# X-coordinate(cm) Y-coordinate(cm) Count
12.5314 13.1667 3248
12.5314 13.8333 4749
11.6654 12.6667 3499
10.7994 12.8333 2746
10.7994 11.8333 6247
26.6765 7.66667 5999
74.3079 7.16667 5250
37.0688 14.6667 5748
28.4086 11.6667 5747
10.7994 10.8333 4748
11.6654 9.66667 4000
13.3975 9.66667 4249
21.769 10.8333 4749
24.3671 10.3333 5996
36.4915 10.3333 9497
38.5122 10.8333 5246
52.946 10.8333 6999
67.3131 1.1471 7143
10.3045 1.18343 4022
96.8377 0.296377 2635
93.8333 0.288675 1746
91.8065 0.317843 4416
89.8529 0.318337 2126
87.8333 0.288675 3587
85.8468 0.306759 3868
82.8552 0.307513 4606
80.8289 0.278107 3556
77.8293 0.296785 5888
75.873 0.311196 6301
74.8333 0.288675 5343
73.8333 0.288675 4180
72.7992 0.301106 2471
70.8435 0.295011 6650
67.8168 0.271429 4062
65.8092 0.31802 3317
62.8315 0.276836 5466
60.7915 0.317136 6036
58.8288 0.322622 4426
57.7981 0.30054 5477
55.8334 0.294099 6686
52.858 0.29817 3742
50.8093 0.298076 5710
47.8339 0.294212 6370
45.8691 0.300568 5602
42.8834 0.31685 4029
40.8333 0.288675 4167
37.8582 0.317972 7412
35.8333 0.288675 3751
32.8258 0.298881 4795
30.86 0.309828 6012
27.8031 0.311538 4952
25.8349 0.293656 3727
22.847 0.289075 6361
20.8333 0.288675 5663
17.8333 0.288675 1752
15.8333 0.288675 6517
12.8529 0.279454 3114
10.8267 0.2836 3593
9.83383 0.281955 6114
8.8415 0.294427 3728
7.83333 0.288675 3613
6.84293 0.309097 2347
3.82586 0.249462 3335
0.255309 18.1651 1246
0.28059 17.1666 1057
0.288675 16.1667 2951
0.288675 14.1667 802
0.288675 12.1667 2338
0.288675 11.1667 1802
0.288675 10.1667 1802
0.288675 8.16667 4158
0.277399 7.16626 2653
0.25601 6.15998 3234
0.280668 3.16423 2226
0.255309 1.1682 3290
19.3212 1.73236 7371
36.4915 5.33333 7750
22.3464 7.16669 4997
19.171 8.33334 6500
11.9366 2.1578 4618
9.06993 3.83782 3764
17.44 5.33642 6006
20.0351 4.83748 5950
3.58251 4.33333 4283
6.18058 3.83333 6067
22.6351 5.33333 4034
42.265 14.6667 7750
38.5122 12.8333 5496
74.8853 14.1667 4749
54.9667 14.3333 6493
54.1007 13.8333 6005
5.31456 6.33333 1999
92.8369 0.293581 3480
88.8259 0.294091 2026
75.2459 0.911068 7456
74.1667 0.288675 6210
73.1667 0.288675 4943
67.1347 0.828752 7874
66.8344 0.285895 5319
58.1622 0.322622 8441
45.2442 0.923723 5568
44.8393 0.322587 4447
42.2667 0.922375 7161
41.8333 0.288675 5131
37.2117 0.929631 10910
36.8287 0.293687 6297
22.1944 0.863479 9086
21.8337 0.285329 4933
19.8321 0.288941 3912
17.1667 0.866025 3591
16.8333 0.288675 2834
12.2218 0.889418 4818
11.8494 0.330511 3839
10.1539 0.849155 7076
9.16716 0.281955 6847
8.18299 0.87753 5055
0.28059 17.8333 1808
0.857941 16.8333 2117
0.288675 15.1667 2403
0.288675 13.1667 1671
0.288675 11.8333 3471
0.866025 10.8333 3203
0.866025 8.83333 5220
0.288675 9.16667 2807
0.277399 7.83293 4471
0.789419 6.81956 4754
0.782766 1.83632 3475
0.272148 2.16659 3365
18.1375 2.01256 4334
16.6667 1.15203 5577
2.19506 2.18713 3355
10.8039 16.8255 3155
16.8785 17.3955 6796
15.9883 16.8482 4365
2.71648 8.83333 3390
2.16054 3.16667 2972
10.8015 3.16486 5317
13.3959 4.66925 4538
6.48369 3.61857 4353
38.5122 4.16667 9250
17.7276 14.1667 5246
14.2663 15.8284 6796
44.863 5.16667 8999
18.5936 14.6667 4996
14.2635 14.8333 7255
22.0577 14.3333 7496
22.9237 12.8333 5248
22.0577 12.3333 6749
12.8201 13.6667 4496
8.48998 15.1667 4251
5.89191 11.6667 3498
7.33528 13.1667 4000
8.77866 13.3333 5999
9.64468 12.8333 4250
27.2539 4.66667 7580
28.1199 12.8333 5247
5.89191 7.66667 3749
6.18058 6.83333 4000
7.04661 7.33333 5248
11.3767 9.83333 3500
13.9748 10.3333 3499
14.8408 9.83333 5500
15.7069 10.3333 7249
25.2331 9.83333 5997
26.3878 10.1667 4249
28.6972 9.83333 7750
61.8949 9.66667 4498
15.6667 1.73205 4774
7.16667 0.288675 4596
7.34934 17.8312 2985
16.8616 12.6667 5746
20.3257 7.66667 4750
88.7542 15.8117 3851
7.63549 3.68664 4180
43.4197 14.3333 10250
4.44853 4.83333 3003
49.7705 5.66667 8748
42.265 5.66667 6998
34.7594 15.3333 6498
38.8009 11.6667 8000
6.75793 4.16667 5727
5.31456 5.33333 3999
6.46926 7.33333 4749
9.35601 6.66667 4999
7.91263 7.83333 5999
95.6699 10.8333 3747
14.3475 18.2284 6226
66.1677 0.285895 7496
41.1667 0.288675 6937
36.162 0.293687 7078
21.167 0.285329 8396
16.1667 0.288675 6844
11.1827 0.330511 4336
0.288675 9.83333 3137
0.272148 2.83326 3238
20.1773 2.0222 5738
8.77876 5.66684 3497
29.2746 6.83337 4998
28.6973 7.1667 6749
16.8616 7.33334 3249
25.818 1.81205 8984
20.6031 16.8195 6705
22.6708 17.67 4283
30.9755 1.84285 8110
12.2428 7.66667 5248
31.2953 6.66667 5499
31.0106 2.8402 5727
6.46926 9.66667 2248
20.6143 6.83341 5748
20.037 8.16667 4749
20.037 7.83333 4249
20.6143 7.83333 5250
5.35526 17.6905 4468
17.1476 16.8387 4176
16.6094 18.2777 4497
16.284 16.3338 7131
12.2427 6.66669 4498
8.5027 2.85536 5116
2.71648 8.16667 2938
2.72937 4.83333 4274
12.5672 2.79141 5827
11.0753 2.335 4224
17.4389 14.6668 6749
17.4387 15.3337 6498
12.8201 12.3333 4498
24.3671 16.3333 6210
4.14247 2.37351 2649
24.0784 2.8319 7060
26.9652 17.1667 4534
7.64096 3.36278 3801
12.2427 5.66679 5498
11.6653 4.66689 3739
13.1084 5.16726 4753
13.9745 5.66717 3000
14.8407 5.16696 4545
15.1216 4.67851 5412
16.5738 5.16899 4768
18.3045 5.16889 5527
20.0367 5.16837 7726
3.00515 7.66667 2498
3.58251 4.66667 4300
57.5648 15.8333 9215
25.2331 16.1667 6734
6.76325 3.84255 5306
15.7069 16.6667 3742
15.4182 14.8333 4497
31.8734 15.3321 6971
18.0163 13.3333 5499
14.8437 16.1617 6217
3.87118 12.1667 5749
4.44853 13.1667 5500
18.3049 15.1668 5249
19.171 15.6667 3752
7.91263 16.1667 2503
31.0072 14.8323 6756
4.44853 5.16667 2998
23.5011 5.16667 4019
28.414 4.34279 5539
18.8823 13.8333 5749
20.037 15.1667 6998
14.5522 14.3333 5250
13.9748 15.6667 4772
20.903 14.6667 6499
21.769 14.1667 5499
20.903 12.6667 6000
21.769 13.1667 5246
21.769 12.1667 7998
12.2429 15.6664 4982
12.8201 13.3333 5246
12.2428 14.6667 4248
11.9541 12.8333 3250
5.02588 11.8333 3749
5.60323 13.1667 4499
7.91263 15.1667 4248
6.75793 12.8333 3498
7.91263 14.1667 5250
8.77866 13.6667 5748
10.5107 13.6667 3500
9.64468 13.1667 5499
11.0881 12.3333 3250
10.5107 12.6667 4999
27.5443 4.8363 5985
24.3671 5.66667 5248
25.8105 4.83333 6000
26.6765 5.33333 4998
25.8105 5.83333 5996
25.8105 6.83333 6496
25.2331 8.16667 6750
25.8105 7.83333 5497
29.5661 15.6604 5760
25.8105 12.8333 7497
26.9652 14.1667 8498
27.8312 13.6667 6747
5.89191 4.33333 5193
5.60323 7.83333 2000
5.31456 7.66667 2748
6.18058 7.16667 5248
9.35601 6.33333 4249
6.75796 5.83339 2747
8.48998 6.83333 5999
7.33528 9.16667 3748
8.77866 9.66667 3750
8.77866 9.33333 3998
11.3767 10.1667 3999
12.2428 10.6667 4496
13.1088 10.1667 5247
13.9748 10.6667 4248
14.8408 10.1667 4750
16.5729 10.1667 5749
17.4389 10.6667 4998
18.3049 10.1667 6749
19.171 10.3333 4000
20.037 10.1667 6000
21.4804 8.66667 6249
21.769 11.1667 3750
21.4804 9.33333 5747
22.6351 10.6667 6248
23.5011 10.1667 7249
25.2331 10.1667 5749
25.8105 8.83333 6998
25.5218 9.66667 5746
27.8312 11.6667 8246
28.6972 10.1667 6997
31.2953 10.3333 5499
39.3782 10.3333 4749
39.0895 9.83333 7497
44.5744 9.66667 8498
47.1725 10.1667 8498
47.7498 10.8333 6248
49.7705 9.66667 6250
53.2346 9.66667 7749
85.3336 18.8633 4925
86.8345 19.7107 6073
73.8417 19.7084 5375
71.8563 19.7009 6573
68.8256 19.7146 6391
63.849 19.6722 6607
58.8288 19.6661 7987
53.8333 19.7113 8749
48.8333 19.7113 7713
36.8287 19.7063 8993
28.8296 19.7127 6005
23.8325 19.725 5732
18.8473 19.6661 6253
13.8352 19.7127 6571
11.8489 19.6671 5469
9.83333 19.7113 3877
4.81407 19.7142 3487
57.0741 0.894968 6700
52.2165 0.937383 9289
47.1906 0.882454 6917
15.1262 2.56371 5339
16.5729 8.16667 4250
11.6504 17.3236 3285
43.131 15.1667 6249
43.997 4.66667 7748
41.1103 9.66667 8249
87.1667 0.866025 6162
13.1721 0.282096 4486
22.0577 7.33336 7248
2.13913 9.16667 4567
84.4115 3.66667 5305
13.1082 4.83425 4742
3.87118 4.83333 3269
62.4722 15.3333 7249
35.3368 3.66667 6997
44.5744 5.33333 8248
7.33528 7.16667 5499
17.3333 1.15203 5246
20.1655 0.866291 6096
16.3333 1.72938 6918
31.0106 3.17353 7008
3.87118 14.8333 3247
75.1739 7.66667 5747
23.7916 2.66947 7050
3.87481 3.17819 3454
11.3767 5.83337 5497
25.5218 5.66667 5497
29.8535 14.8306 4984
28.9859 14.3333 8004
28.1199 11.8333 5996
68.2457 13.6667 5246
9.06736 6.16672 3747
8.20131 7.66667 7248
28.9859 10.3333 7246
29.5633 10.3333 6500
66.225 10.1667 6997
77.4833 11.3333 5749
16.1667 2.00468 6337
7.62887 17.6636 3961
58.4308 15.6667 3499
3.00515 10.3333 3854
3.00641 6.66511 3554
4.15986 15.6667 4008
3.58251 15.6667 2499
3.29746 2.84486 4051
12.82 5.66681 4499
16.5738 4.83548 5885
18.3065 4.83998 4629
15.4182 14.1667 4000
26.3878 15.8333 4504
7.04676 16.3331 3252
7.04661 14.3333 4748
15.167 0.861486 8733
14.2635 7.83333 4749
11.9724 17.1832 4222
8.20326 4.33672 4526
42.8423 15.3333 7999
82.6803 15.332 4316
36.2028 16.1667 6476
25.5218 7.66667 4496
42.265 7.66667 3746
6.75796 5.16672 4999
7.62406 5.66684 2499
46.3064 9.66667 4497
71.1325 10.3333 6749
85.8345 19.1333 3935
72.8822 19.1126 4522
69.7933 19.0609 6990
67.8167 19.2188 8518
4.73721 15.6667 4249
16.284 15.6671 5468
2.13913 13.1667 2953
31.0075 15.1651 5962
43.131 5.16667 8000
13.6861 13.1667 4747
11.0881 11.6667 6500
26.3878 5.16667 6241
10.5107 10.3333 4999
26.0992 10.3333 5246
33.316 9.16667 6248
38.5122 9.16667 7749
39.3782 9.66667 9248
64.493 9.16667 8247
17.6667 1.15425 5032
6.76133 17.1625 2476
16.2842 6.66673 2998
20.037 11.8333 5000
20.3257 12.3333 5247
12.5314 6.83336 3248
8.1954 2.66984 5915
13.3971 5.3339 4500
44.863 15.1667 7748
34.4707 7.16667 7748
63.6269 9.66667 7500
70.5551 9.66667 5499
73.1532 9.16667 6998
21.1756 1.99592 4104
3.58376 6.33177 3752
7.62703 17.3301 4534
56.4101 11.8333 3997
5.89283 16.6651 4130
83.8342 5.66667 5500
7.91263 10.1667 2999
5.02588 16.1667 4746
12.8201 6.66669 3749
50.1112 2.06129 8200
17.7276 13.1667 2997
81.8135 4.83333 5999
12.5314 14.8333 4994
25.5218 13.6667 8999
52.0799 14.3333 8004
18.5936 8.66667 6248
18.5936 9.66667 5249
20.3257 9.66667 5747
30.718 9.66667 4997
61.6062 9.83333 5750
71.7098 8.66667 4998
14.8337 1.43884 6081
23.5264 16.8656 6866
51.5026 15.3333 7784
54.3893 13.6667 6992
39.9556 10.3333 7496
85.8549 9.83333 3749
31.0066 7.16667 4500
5.60879 16.8237 3910
38.5122 3.16667 7821
61.0289 16.8333 6430
45.4404 13.8333 9749
57.8534 15.6667 8192
29.2791 4.17441 8263
15.4182 15.1667 5007
42.265 13.6667 8747
56.6987 15.3333 7841
41.3989 14.1667 6250
51.5026 7.66667 9746
22.9241 14.8338 6503
20.3257 11.6667 5246
33.316 6.16667 6500
33.0274 8.33333 7999
33.316 8.16667 6246
13.6861 14.1667 5000
11.6654 13.3333 4749
7.91263 12.8333 4249
8.20131 12.6667 3250
8.20131 8.66667 4747
9.93336 9.66667 5000
15.1295 9.66667 5500
42.8423 9.66667 6999
51.5026 9.66667 7500
52.3686 10.1667 6249
70.5551 7.66667 8748
38.5122 13.8333 5748
8.7787 6.3334 4498
17.8328 0.865901 5026
21.1906 17.1584 4005
34.4707 12.1667 5746
34.1826 16.334 5502
74.0151 17.3781 5795
33.8934 14.8333 7746
35.9241 2.61927 7962
8.20131 11.6667 3248
97.4019 15.8336 3499
18.8823 13.1667 6250
15.1295 15.3333 8030
18.3049 14.8333 5246
8.20131 14.3333 4249
25.2331 13.8333 7497
28.1199 13.8333 4499
26.9652 12.8333 6500
67.9571 13.8333 6249
7.33531 4.83339 5506
12.2428 10.3333 4497
13.1088 9.83333 3750
16.8616 10.3333 6248
23.7898 9.66667 7249
27.8312 10.3333 7750
69.1118 8.16667 5997
73.1532 10.8333 6249
97.6906 7.66667 3496
